2017-02-11 22:29:04,819 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-02-11 22:30:53,539 [Worker-4] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: selenium.class.test1:selenium.class.test1:0.0.1-SNAPSHOT @ D:\Selenium Practice\selenium.class.test1\pom.xml.
2017-02-11 22:30:54,187 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /selenium.class.test1/src/main/java
2017-02-11 22:30:54,190 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /selenium.class.test1/src/main/resources
2017-02-11 22:30:54,192 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /selenium.class.test1/src/test/java
2017-02-11 22:30:54,194 [Worker-4] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /selenium.class.test1/src/test/resources
2017-02-11 22:30:56,130 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:30:56,140 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:30:56,144 [Worker-8] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-02-11 22:30:56,153 [Worker-8] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-02-11 22:31:31,236 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: selenium.class.test1:selenium.class.test1:0.0.1-SNAPSHOT @ D:\Selenium Practice\selenium.class.test1\pom.xml.
